,index,Rank,Song,Performer,SongID,spotify_genre,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Datetime,Year
419,19029,3,Blame It,Jamie Foxx Featuring T-Pain,Blame ItJamie Foxx Featuring T-Pain,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",67.0,0.6729999999999999,0.614,7.0,-5.426,1.0,0.10300000000000001,0.0782,0.0,0.139,0.36200000000000004,176.05200000000002,4.0,2009-05-23,2009
420,18685,3,The Time Of My Life,David Cook,The Time Of My LifeDavid Cook,"['idol', 'neo mellow', 'pop rock', 'talent show']",54.0,0.414,0.578,8.0,-6.382999999999999,1.0,0.0287,0.0541,0.0,0.124,0.281,154.96,3.0,2008-06-07,2008
421,16915,3,Complicated,Avril Lavigne,ComplicatedAvril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",79.0,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.42700000000000005,77.987,4.0,2002-09-21,2002
422,17199,3,Crazy In Love,Beyonce Featuring Jay Z,Crazy In LoveBeyonce Featuring Jay Z,"['dance pop', 'pop', 'pop rap', 'r&b']",76.0,0.6459999999999999,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.6809999999999999,99.165,4.0,2003-09-13,2003
423,16555,3,Angel,Shaggy Featuring Rayvon,AngelShaggy Featuring Rayvon,"['dance pop', 'reggae fusion']",73.0,0.74,0.7659999999999999,6.0,-2.9389999999999996,1.0,0.17800000000000002,0.11599999999999999,0.0,0.0406,0.807,170.53099999999998,4.0,2001-04-21,2001
424,16802,3,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,Ain't It FunnyJennifer Lopez Featuring Ja Rule,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",58.0,0.7809999999999999,0.746,8.0,-2.6860000000000004,1.0,0.17,0.364,0.0,0.098,0.7859999999999999,89.43,4.0,2002-04-20,2002
425,19030,4,Day 'N' Nite,Kid Cudi,Day 'N' NiteKid Cudi,"['hip hop', 'pop rap', 'rap']",74.0,0.878,0.446,11.0,-6.362,0.0,0.0635,0.503,6.32e-06,0.11699999999999999,0.805,138.035,4.0,2009-05-23,2009
426,18855,4,Heartless,Kanye West,HeartlessKanye West,"['chicago rap', 'rap']",77.0,0.789,0.65,10.0,-6.16,0.0,0.121,0.0401,0.0,0.249,0.617,87.98299999999999,4.0,2008-11-22,2008
427,18752,4,Take A Bow,Rihanna,Take A BowRihanna,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",79.0,0.6970000000000001,0.467,9.0,-7.5360000000000005,1.0,0.0715,0.248,0.0,0.0941,0.5720000000000001,82.081,4.0,2008-08-16,2008
428,17951,4,Be Without You,Mary J. Blige,Be Without YouMary J. Blige,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",64.0,0.7240000000000001,0.6890000000000001,2.0,-5.922000000000001,0.0,0.135,0.083,0.0,0.304,0.693,146.496,4.0,2006-03-18,2006
429,18118,4,Crazy,Gnarls Barkley,CrazyGnarls Barkley,"['atl hip hop', 'neo soul']",72.0,0.835,0.741,8.0,-1.609,1.0,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4.0,2006-09-09,2006
430,17285,4,Stand Up,Ludacris Featuring Shawnna,Stand UpLudacris Featuring Shawnna,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",58.0,0.745,0.841,6.0,-4.774,1.0,0.35700000000000004,0.358,0.0,0.111,0.767,97.90899999999999,4.0,2003-12-27,2003
431,18400,4,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin')T-Pain Featuring Yung Joc,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",77.0,0.451,0.55,1.0,-8.137,1.0,0.262,0.0108,0.0,0.0737,0.594,80.001,4.0,2007-06-30,2007
432,18298,5,Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",73.0,0.56,0.9590000000000001,7.0,-2.4330000000000003,1.0,0.102,0.0007379999999999999,0.000206,0.209,0.67,163.983,4.0,2007-03-17,2007
433,17153,5,21 Questions,50 Cent Featuring Nate Dogg,21 Questions50 Cent Featuring Nate Dogg,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",70.0,0.547,0.807,6.0,-4.083,0.0,0.36,0.38799999999999996,9.109999999999999e-05,0.0436,0.919,79.82300000000001,3.0,2003-07-12,2003
434,18938,5,Single Ladies (Put A Ring On It),Beyonce,Single Ladies (Put A Ring On It)Beyonce,"['dance pop', 'pop', 'pop rap', 'r&b']",70.0,0.426,0.584,1.0,-5.292999999999999,1.0,0.29600000000000004,0.0383,0.0,0.188,0.272,193.437,4.0,2009-02-21,2009
435,18252,5,Smack That,Akon Featuring Eminem,Smack ThatAkon Featuring Eminem,"['dance pop', 'pop', 'pop rap']",72.0,0.937,0.738,5.0,-5.301,0.0,0.0478,0.292,0.0,0.106,0.9109999999999999,118.994,4.0,2007-01-27,2007
436,16247,5,Breathe,Faith Hill,BreatheFaith Hill,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",65.0,0.529,0.496,7.0,-9.007,1.0,0.028999999999999998,0.17300000000000001,0.0,0.251,0.278,136.859,4.0,2000-02-26,2000
437,17503,5,Sunshine,Lil' Flip Featuring Lea,SunshineLil' Flip Featuring Lea,"['crunk', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'southern hip hop', 'trap']",61.0,0.8140000000000001,0.387,0.0,-9.867,1.0,0.0945,0.0248,0.0,0.131,0.792,93.961,4.0,2004-10-09,2004
438,18178,5,SexyBack,Justin Timberlake,SexyBackJustin Timberlake,"['dance pop', 'pop', 'pop rap']",76.0,0.9670000000000001,0.583,7.0,-5.562,0.0,0.0789,0.0584,0.0,0.0519,0.9640000000000001,117.0,4.0,2006-11-11,2006
439,17357,5,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,Slow JamzTwista Featuring Kanye West & Jamie Foxx,"['chicago rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap']",66.0,0.5589999999999999,0.733,2.0,-5.659,0.0,0.171,0.314,0.0,0.284,0.611,145.115,4.0,2004-03-27,2004
440,16919,6,One Last Breath,Creed,One Last BreathCreed,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']",70.0,0.386,0.677,2.0,-5.83,1.0,0.0346,0.008409999999999999,0.00366,0.341,0.195,126.602,4.0,2002-09-28,2002
441,17054,6,Picture,Kid Rock Featuring Sheryl Crow,PictureKid Rock Featuring Sheryl Crow,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",68.0,0.6920000000000001,0.496,7.0,-7.332000000000001,1.0,0.0241,0.172,6.42e-06,0.107,0.376,97.945,4.0,2003-03-22,2003
442,17894,6,Photograph,Nickelback,PhotographNickelback,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",68.0,0.513,0.877,8.0,-3.7560000000000002,1.0,0.0292,0.000932,0.00016299999999999998,0.136,0.389,145.91899999999998,4.0,2005-12-31,2005
443,17463,6,Dip It Low,Christina Milian,Dip It LowChristina Milian,"['dance pop', 'europop', 'hip pop', 'r&b', 'urban contemporary']",54.0,0.7909999999999999,0.725,11.0,-4.244,0.0,0.076,0.0111,0.00019099999999999998,0.0882,0.5539999999999999,84.57,4.0,2004-08-14,2004
444,19046,6,New Divide,Linkin Park,New DivideLinkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",70.0,0.493,0.8079999999999999,5.0,-3.365,0.0,0.0362,0.00023500000000000002,0.0,0.0983,0.38,117.971,4.0,2009-06-06,2009
445,18119,6,Promiscuous,Nelly Furtado Featuring Timbaland,PromiscuousNelly Furtado Featuring Timbaland,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap', 'pop rock']",67.0,0.813,0.977,10.0,-6.077999999999999,0.0,0.0476,0.05,2.75e-05,0.147,0.8420000000000001,114.316,4.0,2006-09-09,2006
446,16855,6,A Thousand Miles,Vanessa Carlton,A Thousand MilesVanessa Carlton,"['acoustic pop', 'dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']",77.0,0.56,0.825,11.0,-3.862,1.0,0.0379,0.32299999999999995,0.0,0.161,0.268,94.931,4.0,2002-06-22,2002
447,18781,6,Dangerous,Kardinal Offishall Featuring Akon,DangerousKardinal Offishall Featuring Akon,"['pop rap', 'toronto rap']",66.0,0.951,0.79,8.0,-5.79,1.0,0.081,0.0042899999999999995,0.0,0.0845,0.78,117.007,4.0,2008-09-13,2008
448,18581,7,Clumsy,Fergie,ClumsyFergie,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",60.0,0.728,0.5820000000000001,2.0,-4.141,1.0,0.158,0.196,0.0006320000000000001,0.304,0.41700000000000004,184.045,4.0,2008-02-16,2008
449,18423,7,"Sorry, Blame It On Me",Akon,"Sorry, Blame It On MeAkon","['dance pop', 'pop', 'pop rap']",59.0,0.713,0.643,7.0,-7.381,1.0,0.292,0.276,3.32e-05,0.0786,0.508,176.079,4.0,2007-08-04,2007
450,17259,7,Damn!,YoungBloodZ Featuring Lil Jon,Damn!YoungBloodZ Featuring Lil Jon,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop']",52.0,0.818,0.711,4.0,-5.816,0.0,0.285,0.0149,0.0,0.35200000000000004,0.496,84.03,4.0,2003-11-29,2003
451,19145,7,Best I Ever Had,Drake,Best I Ever HadDrake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",73.0,0.431,0.894,5.0,-2.673,0.0,0.33,0.0951,0.0,0.188,0.604,162.19299999999998,4.0,2009-09-12,2009
452,18809,7,Keeps Gettin' Better,Christina Aguilera,Keeps Gettin' BetterChristina Aguilera,"['dance pop', 'pop', 'post-teen pop', 'r&b']",50.0,0.645,0.6970000000000001,5.0,-4.7330000000000005,0.0,0.0285,0.0739,0.000842,0.575,0.25,130.001,4.0,2008-10-18,2008
453,16799,7,Blurry,Puddle Of Mudd,BlurryPuddle Of Mudd,"['alternative metal', 'alternative rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']",67.0,0.44,0.929,3.0,-4.494,0.0,0.0525,0.01,0.0,0.142,0.495,157.49,4.0,2002-04-13,2002
454,18686,7,Sexy Can I,Ray J & Yung Berg,Sexy Can IRay J & Yung Berg,"['r&b', 'urban contemporary']",67.0,0.575,0.684,1.0,-6.007000000000001,1.0,0.325,0.299,0.0,0.614,0.9259999999999999,172.155,4.0,2008-06-07,2008
455,17761,7,Behind These Hazel Eyes,Kelly Clarkson,Behind These Hazel EyesKelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",61.0,0.5479999999999999,0.889,9.0,-4.6819999999999995,1.0,0.0382,0.00165,0.00109,0.19699999999999998,0.425,90.04799999999999,4.0,2005-08-13,2005
456,18331,7,What I've Done,Linkin Park,What I've DoneLinkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",78.0,0.623,0.93,5.0,-5.285,1.0,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4.0,2007-04-21,2007
457,18030,7,SOS,Rihanna,SOSRihanna,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",69.0,0.677,0.6709999999999999,7.0,-4.905,1.0,0.0361,0.004,5.07e-05,0.413,0.527,137.046,4.0,2006-06-17,2006
458,18359,8,Never Again,Kelly Clarkson,Never AgainKelly Clarkson,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",47.0,0.514,0.91,7.0,-2.978,0.0,0.0714,0.00168,0.00187,0.22399999999999998,0.47200000000000003,145.907,4.0,2007-05-12,2007
