Pos_Score,Neu_Score,Neg_Score,Comp_Score
0.147,0.842,0.011,0.9883
0.036,0.883,0.081,-0.6929
0.074,0.926,0.0,0.9466
0.312,0.561,0.127,0.9981
0.049,0.945,0.006,0.8402
0.223,0.753,0.024,0.9857
0.14,0.807,0.053,0.9775
0.189,0.722,0.089,0.9611
0.179,0.686,0.135,0.9493
0.078,0.846,0.075,0.4019
0.152,0.835,0.012,0.9868
0.178,0.751,0.071,0.9594
0.164,0.836,0.0,0.9953
0.041,0.954,0.005,0.8481
0.165,0.731,0.104,0.9211
0.467,0.533,0.0,0.9997
0.258,0.742,0.0,0.9978
0.125,0.875,0.0,0.9758
0.181,0.605,0.213,-0.9734
0.291,0.648,0.061,0.9976
0.185,0.678,0.137,0.9849
0.171,0.731,0.098,0.9904
0.084,0.725,0.191,-0.9902
0.137,0.812,0.052,0.9848
0.144,0.781,0.075,0.9713
0.076,0.924,0.0,0.9756
0.275,0.646,0.079,0.9984
0.119,0.838,0.043,0.9855
0.053,0.773,0.174,-0.9881
0.335,0.665,0.0,0.9994
0.163,0.773,0.064,0.9802
0.075,0.92,0.005,0.984
0.066,0.87,0.064,0.3162
0.17,0.756,0.074,0.9944
0.11,0.798,0.092,0.6249
0.12,0.841,0.04,0.9433
0.091,0.846,0.063,0.7689
0.057,0.902,0.04,0.7278
0.185,0.699,0.116,0.9457
0.031,0.821,0.148,-0.9891
0.082,0.918,0.0,0.7351
0.061,0.875,0.064,-0.4927
0.112,0.768,0.12,-0.6549
0.228,0.75,0.023,0.997
0.118,0.825,0.057,0.9716
0.131,0.86,0.009,0.9913
0.241,0.746,0.013,0.9982
0.058,0.859,0.083,-0.8765
0.189,0.603,0.209,-0.554
0.241,0.7,0.058,0.9832
0.091,0.813,0.097,0.8568
0.0,0.901,0.099,-0.9644
0.226,0.7,0.074,0.9943
,,,
0.094,0.835,0.071,0.6432
0.149,0.662,0.19,-0.9117
0.032,0.852,0.116,-0.9732
0.036,0.917,0.048,-0.5679
0.056,0.531,0.413,-0.9977
0.267,0.727,0.007,0.9985
0.227,0.733,0.04,0.997
0.04,0.89,0.07,-0.8775
0.061,0.906,0.033,0.9312
0.105,0.884,0.011,0.9783
0.044,0.887,0.068,-0.8554
0.142,0.768,0.09,0.8555
0.052,0.911,0.037,0.1341
0.239,0.735,0.026,0.9955
0.236,0.694,0.069,0.9977
0.2,0.785,0.015,0.9956
0.334,0.658,0.008,0.9998
0.188,0.729,0.084,0.9872
0.522,0.478,0.0,0.9997
0.319,0.59,0.091,0.9981
0.01,0.925,0.065,-0.8173
0.133,0.758,0.109,0.9269
0.042,0.851,0.107,-0.8021
0.088,0.862,0.05,0.8885
0.185,0.803,0.012,0.9973
0.038,0.822,0.14,-0.9797
0.159,0.426,0.416,-0.9994
0.17,0.782,0.048,0.9955
0.119,0.759,0.123,-0.6501
0.093,0.858,0.05,0.9574
0.107,0.712,0.181,-0.9908
0.109,0.832,0.06,0.9477
0.23,0.733,0.036,0.9967
0.151,0.814,0.034,0.9956
0.246,0.732,0.022,0.9953
0.259,0.672,0.069,0.9902
0.298,0.689,0.013,0.9997
0.05,0.925,0.026,0.782
0.236,0.668,0.096,0.9959
0.191,0.673,0.136,0.891
0.075,0.832,0.092,-0.4426
0.246,0.716,0.037,0.9963
0.112,0.857,0.031,0.9876
0.235,0.739,0.026,0.9985
0.279,0.696,0.025,0.9964
0.157,0.768,0.075,0.9841
0.24,0.73,0.031,0.9961
0.225,0.708,0.068,0.9923
0.045,0.911,0.043,-0.1531
0.231,0.721,0.049,0.9983
0.091,0.876,0.033,0.9612
0.229,0.757,0.014,0.9985
0.311,0.644,0.045,0.9988
0.283,0.629,0.088,0.9932
0.127,0.793,0.08,0.9599
0.133,0.802,0.066,0.995
0.117,0.794,0.09,0.9427
0.201,0.705,0.094,0.9929
0.198,0.739,0.064,0.9955
0.15,0.786,0.064,0.9967
0.317,0.655,0.028,0.9989
0.282,0.718,0.0,0.9963
0.183,0.746,0.071,0.9944
0.078,0.829,0.092,-0.4581
0.17,0.807,0.023,0.9989
0.135,0.81,0.055,0.9693
0.257,0.692,0.051,0.9929
0.131,0.783,0.086,0.9902
0.207,0.709,0.084,0.997
0.119,0.841,0.04,0.926
0.051,0.921,0.029,0.8581
0.144,0.846,0.009,0.992
0.096,0.884,0.02,0.9598
0.472,0.487,0.041,0.9999
0.104,0.826,0.07,0.829
0.017,0.903,0.079,-0.985
0.122,0.689,0.188,-0.9942
0.154,0.822,0.023,0.9963
0.186,0.774,0.04,0.9822
0.09,0.799,0.111,0.7684
0.246,0.737,0.016,0.9944
0.147,0.768,0.085,0.9806
0.136,0.739,0.124,-0.6361
0.458,0.518,0.024,0.9998
0.263,0.701,0.036,0.9968
0.135,0.783,0.081,0.9751
0.05,0.813,0.137,-0.9497
0.159,0.798,0.043,0.9859
0.127,0.846,0.027,0.966
